Data File Name,Scale Name,Column Name,Transform ,Reverse,Min,Max,Informant_MateRetention_General,Informant_MateRetention_Breakup,Informant_SelfProtection_total,Informant_Disease_total,Informant_Affiliation_group,Informant_Status_total,Informant_MateSeeking_total,Informant_Family_total,Informant_BFI_Extraversion,Informant_BFI_Agreeableness,Informant_BFI_Conscientiousness,Informant_BFI_Neuroticism,Informant_BFI_Openness_To_Experience,Informant_BFI_Total,Informant_Dominance_score,Informant_Prestige_score
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_47,0,,,,,,,,,,,1,,,,,,,,
YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0,YADS-V_Informant_Reports_V2.0_48,0,,,,,,,,,,,1,,,,,,,,
YADS-V_Informant_Reports_V2.1,YADS-V_Informant_Reports_V2.1,YADS-V_Informant_Reports_V2.0_49,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.2,YADS-V_Informant_Reports_V2.2,YADS-V_Informant_Reports_V2.0_50,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.3,YADS-V_Informant_Reports_V2.3,YADS-V_Informant_Reports_V2.0_51,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.4,YADS-V_Informant_Reports_V2.4,YADS-V_Informant_Reports_V2.0_52,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.5,YADS-V_Informant_Reports_V2.5,YADS-V_Informant_Reports_V2.0_53,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.6,YADS-V_Informant_Reports_V2.6,YADS-V_Informant_Reports_V2.0_54,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.7,YADS-V_Informant_Reports_V2.7,YADS-V_Informant_Reports_V2.0_55,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.8,YADS-V_Informant_Reports_V2.8,YADS-V_Informant_Reports_V2.0_56,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.9,YADS-V_Informant_Reports_V2.9,YADS-V_Informant_Reports_V2.0_57,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.10,YADS-V_Informant_Reports_V2.10,YADS-V_Informant_Reports_V2.0_58,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.11,YADS-V_Informant_Reports_V2.11,YADS-V_Informant_Reports_V2.0_59,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.12,YADS-V_Informant_Reports_V2.12,YADS-V_Informant_Reports_V2.0_60,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.13,YADS-V_Informant_Reports_V2.13,YADS-V_Informant_Reports_V2.0_61,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.14,YADS-V_Informant_Reports_V2.14,YADS-V_Informant_Reports_V2.0_62,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.15,YADS-V_Informant_Reports_V2.15,YADS-V_Informant_Reports_V2.0_63,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.16,YADS-V_Informant_Reports_V2.16,YADS-V_Informant_Reports_V2.0_64,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.17,YADS-V_Informant_Reports_V2.17,YADS-V_Informant_Reports_V2.0_65,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.18,YADS-V_Informant_Reports_V2.18,YADS-V_Informant_Reports_V2.0_66,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.19,YADS-V_Informant_Reports_V2.19,YADS-V_Informant_Reports_V2.0_67,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.20,YADS-V_Informant_Reports_V2.20,YADS-V_Informant_Reports_V2.0_68,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.21,YADS-V_Informant_Reports_V2.21,YADS-V_Informant_Reports_V2.0_69,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.22,YADS-V_Informant_Reports_V2.22,YADS-V_Informant_Reports_V2.0_70,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.23,YADS-V_Informant_Reports_V2.23,YADS-V_Informant_Reports_V2.0_71,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.24,YADS-V_Informant_Reports_V2.24,YADS-V_Informant_Reports_V2.0_72,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.25,YADS-V_Informant_Reports_V2.25,YADS-V_Informant_Reports_V2.0_73,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.26,YADS-V_Informant_Reports_V2.26,YADS-V_Informant_Reports_V2.0_74,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.27,YADS-V_Informant_Reports_V2.27,YADS-V_Informant_Reports_V2.0_75,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.28,YADS-V_Informant_Reports_V2.28,YADS-V_Informant_Reports_V2.0_76,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.29,YADS-V_Informant_Reports_V2.29,YADS-V_Informant_Reports_V2.0_77,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.30,YADS-V_Informant_Reports_V2.30,YADS-V_Informant_Reports_V2.0_78,0,,,,,,,,,,,,,,,,,,,
YADS-V_Informant_Reports_V2.31,YADS-V_Informant_Reports_V2.31,YADS-V_Informant_Reports_V2.0_79,0,,,,,,,,,,,,,,,,,,,
