-------------------------------------------------------------------------------
tds1_tds2
Running /projects/dsnlab/shared/tds/TDS_scripts/fMRI/ppc/spm/tds1_tds2/dartel_tds1_tds2_job.m
-------------------------------------------------------------------------------

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 


------------------------------------------------------------------------
Running job #1
------------------------------------------------------------------------
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'File Selector (Batch Mode)'
Done    'File Selector (Batch Mode)'
Running 'Run Dartel (create Templates)'
 1735.38, 50.3994, 10.5935, 1.28331, 0.50445, 0.284948, 0.183064, 0.127105,
1 94	827100	0	827100	293.129
1 95	853998	0	853998	327.881
1 96	718557	0	718557	241.044
1 97	848068	0	848068	307.307
1 98	945058	0	945058	317.543
1 99	710969	0	710969	262.325
1 100	723220	0	723220	237.123
1 101	644928	0	644928	202.014
1 102	669931	0	669931	220.333
1 103	1.38622e+06	0	1.38622e+06	422.584
1 104	810590	0	810590	306.962
1 105	683655	0	683655	220.084
1 106	710635	0	710635	234.489
1 107	673092	0	673092	209.23
1 108	734821	0	734821	267.838
1 109	693263	0	693263	223.892
1 110	904022	0	904022	319.361
1 111	733410	0	733410	253.585
1 112	947628	0	947628	307.979
1 113	744806	0	744806	235.63
1 114	896791	0	896791	305.503
1 115	1.22461e+06	0	1.22461e+06	317.429
1 116	814376	0	814376	294.588
1 117	762546	0	762546	239.082
1 118	813697	0	813697	276.807
1 119	753793	0	753793	260.613
1 120	1.10096e+06	0	1.10096e+06	416.654
1 121	746559	0	746559	240.025
1 122	759387	0	759387	253.081
1 123	750384	0	750384	247.65
1 124	707425	0	707425	236.169
1 125	811502	0	811502	303.062
1 126	669547	0	669547	213.413
1 127	706531	0	706531	238.031
1 128	1.12433e+06	0	1.12433e+06	362.599
1 129	771829	0	771829	293.319
1 130	720485	0	720485	234.129
1 131	721303	0	721303	265.372
1 132	711786	0	711786	236.949
1 133	734550	0	734550	250.186
1 134	696141	0	696141	238.806
1 135	845632	0	845632	309.027
1 136	667044	0	667044	222.459
1 137	641077	0	641077	194.834
1 138	939093	0	939093	309.944
1 139	842900	0	842900	274.133
1 140	663366	0	663366	214.151
1 141	685326	0	685326	226.992
1 142	874268	0	874268	307.265
1 143	906386	0	906386	296.084
1 144	935129	0	935129	325.578
1 145	719444	0	719444	245.805
1 146	741390	0	741390	278.265
1 147	724289	0	724289	240.099
1 148	713725	0	713725	255.893
1 149	1.21942e+06	0	1.21942e+06	322.776
 1861.23, 42.0938, 9.72015, 1.18822, 0.475772, 0.271199, 0.175208, 0.122191,
2 1	627202	30395.2	657597	187.057
2 2	1.03284e+06	43203.8	1.07604e+06	340.83
2 3	579227	48881.9	628109	250.117
2 4	605916	24147.9	630063	159.996
2 5	557741	35392.7	593134	170.677
2 6	667956	45784.9	713741	269.024
2 7	791472	100995	892466	652.618
2 8	684537	43346.6	727884	635.309
2 9	815217	83245.5	898462	684.104
2 10	621807	32176.3	653983	168.978
2 11	667324	45512.1	712836	415.329
2 12	543531	40382.7	583914	177.884
2 13	611336	28807.5	640144	219.519
2 14	602168	26579	628747	138.004
2 15	720894	80944.9	801839	614.501
2 16	608536	17895.4	626432	331.807
2 17	558090	13413.7	571503	203.381
2 18	740775	55109	795884	704.755
2 19	591811	46817.5	638629	200.466
2 20	573968	14253.5	588222	356.184
2 21	646538	39036.3	685574	163.168
2 22	590456	17934.4	608390	391.615
2 23	598153	19279.3	617432	164.921
2 24	571054	35752.7	606807	235.064
2 25	688922	52895.4	741817	527.059
2 26	751948	100483	852431	417.6
2 27	595756	34988.7	630745	226.318
2 28	581453	19563.3	601017	168.204
2 29	597475	23115.7	620591	194.214
2 30	567024	53896.4	620921	180.31
2 31	575191	21693.9	596885	140.412
2 32	611342	27182.4	638524	192.437
2 33	581253	22076	603329	166.487
2 34	590248	21794	612042	149.164
2 35	539313	23821.2	563135	139.126
2 36	552927	16202.8	569129	149.607
2 37	578208	41045.7	619254	168.111
2 38	587277	31945.5	619223	247.025
2 39	545145	10421.6	555566	223.532
2 40	548778	15536.9	564315	268.881
2 41	672417	50744.7	723162	265.028
2 42	541387	13920.5	555308	124.371
2 43	598688	27883.8	626571	192.083
2 44	596602	26023.4	622625	135.66
2 45	605134	17695.4	622830	303.923
2 46	569278	20989.6	590268	146.418
2 47	561243	21552.7	582795	300.41
2 48	578896	16592.1	595489	208.533
2 49	558782	40367	599149	169.05
2 50	635395	75912.5	711308	234.917
2 51	611808	24388.5	636197	529.651
2 52	743578	32783.8	776362	176.033
2 53	583189	44791.3	627980	234.549
2 54	535917	23642.8	559560	200.35
2 55	556431	25395.5	581827	283.12
2 56	561516	37317.4	598834	158.785
2 57	552232	12755.6	564988	240.489
2 58	544187	33670.8	577858	186.321
2 59	619267	28681.8	647949	556.864
2 60	590113	20313.4	610427	185.932
2 61	600028	37125	637153	190.693
2 62	562717	16912.5	579630	216.173
2 63	515866	21373.3	537239	153.79
2 64	922228	128713	1.05094e+06	758.742
2 65	593396	42863.6	636259	176.942
2 66	598603	26309.7	624912	153.314
2 67	540202	26527	566729	147.862
2 68	615073	23373	638446	163.468
2 69	544120	15232.3	559352	134.56
2 70	559533	14564.5	574098	257.607
2 71	548479	18647.2	567126	235.957
2 72	546047	18799.8	564846	155.4
2 73	622112	23617.6	645730	585.814
2 74	553047	15932.9	568980	238.056
2 75	730457	28130.9	758588	553.621
2 76	624290	43079.5	667370	409.179
2 77	547407	17303.7	564711	143.598
2 78	620851	28264.2	649115	563.9
2 79	650197	28763.3	678961	203.672
2 80	572605	22246.6	594852	311.546
2 81	601717	28432.3	630150	390.892
2 82	592680	22340.3	615020	190.684
2 83	531363	25170.3	556533	161.888
2 84	565933	35607.1	601540	284.845
2 85	629012	24295.1	653307	622.132
2 86	566924	18803.2	585727	200.077
2 87	549942	40330.6	590272	200.299
2 88	667245	40629.9	707875	297.42
2 89	593041	22861.9	615903	485.564
2 90	574727	15052.3	589780	214.094
2 91	588623	28102.2	616725	171.681
2 92	742078	69998.7	812076	435.598
2 93	531218	9380.51	540599	134.329
2 94	619381	36690.1	656071	294.576
2 95	619500	51756.9	671257	439.382
2 96	577247	22245	599492	172.048
2 97	599084	49344	648428	219.43
2 98	719476	51898.9	771375	405.598
2 99	533493	28521.6	562014	155.219
2 100	599232	20087.4	619320	142.137
2 101	550298	11582.2	561880	159.087
