Data File Name,Scale Name,Column Name,transform,reverse,min,max,Anxious_Depressed,Withdrawn_Depressed,Somatic_Complaints,Internalizing,Social_Problems,Thought_Problems,Attention_Problems,Rule_Breaking_Behavior,Aggressive_Behavior,Externalizing,SES
TDS1_CBCL_Pre,CBCL,BestThings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
TDS1_CBCL_Pre,CBCL,VIII_3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_14,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_20,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_26,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
TDS1_CBCL_Pre,CBCL,VIII_27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_28,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
TDS1_CBCL_Pre,CBCL,VIII_29,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_30,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_32,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_33,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_37,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_39,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
TDS1_CBCL_Pre,CBCL,VIII_40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_42,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_43,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
TDS1_CBCL_Pre,CBCL,VIII_44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_47,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_a,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_b,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_c,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_d,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_e,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_g,0,0,0,0,0,0,1,1,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_56_h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_57,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
TDS1_CBCL_Pre,CBCL,VIII_58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
TDS1_CBCL_Pre,CBCL,VIII_61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
