"","subject.name","condition","n_good.go","n_bad.go","n_good.stop","n_bad.stop"
"339",195,2,3,9,11,16
"340",195,3,4,3,16,15
"341",195,4,3,7,14,16
"342",196,1,12,11,9,7
"343",196,2,11,13,7,8
"344",196,3,14,11,8,6
"345",196,4,14,17,3,5
"346",197,1,10,8,11,9
"347",197,2,4,8,9,12
"348",197,3,11,11,8,6
"349",197,4,10,15,5,8
"350",301,1,8,10,9,11
"351",301,2,3,5,15,17
"352",301,3,5,5,16,13
"353",301,4,3,0,20,17
"354",302,1,6,11,7,12
"355",302,2,5,8,11,15
"356",302,3,10,12,7,9
"357",302,4,10,10,11,9
"358",303,1,8,7,11,11
"359",303,2,6,3,17,13
"360",303,3,6,8,12,12
"361",303,4,4,8,12,14
"362",304,1,5,9,8,13
"363",304,2,5,5,12,14
"364",304,3,3,8,10,16
"365",304,4,0,2,16,17
"366",305,1,10,10,11,9
"367",305,2,16,13,7,4
"368",305,3,8,10,10,12
"369",305,4,6,8,2,4
"370",306,1,10,11,8,9
"371",306,2,6,13,8,12
"372",306,3,7,8,11,12
"373",306,4,7,6,13,13
"374",307,1,10,10,10,9
"375",307,2,10,11,10,9
"376",307,3,9,13,7,10
"377",307,4,9,13,7,11
"378",308,1,4,12,8,14
"379",308,2,7,2,18,12
"380",308,3,3,9,11,16
"381",308,4,6,4,16,13
"382",309,1,4,10,7,10
"383",309,2,11,11,7,9
"384",309,3,11,11,8,8
"385",309,4,13,13,6,5
"386",310,1,8,9,11,10
"387",310,2,5,6,12,14
"388",310,3,3,3,16,15
"389",310,4,4,7,11,16
"390",312,1,6,10,11,13
"391",312,2,7,3,17,13
"392",312,3,10,8,12,10
"393",312,4,9,9,11,10
"394",313,1,8,7,11,8
"395",313,2,10,5,15,10
"396",313,3,9,7,13,11
"397",313,4,7,6,14,12
"398",314,1,6,2,12,9
"399",314,2,1,7,14,16
"400",314,3,6,3,17,13
"401",314,4,1,3,17,19
"402",315,1,0,1,19,18
"403",315,2,3,1,16,16
"404",315,3,0,3,16,20
"405",316,1,7,7,12,9
"406",316,2,2,4,10,14
"407",316,3,1,4,16,17
"408",316,4,2,1,19,18
"409",317,1,8,8,11,6
"410",317,2,7,7,8,9
"411",317,3,8,8,11,10
"412",317,4,5,7,11,14
"413",318,1,7,11,9,9
"414",318,2,13,9,10,7
"415",318,3,11,9,10,8
"416",318,4,14,10,8,4
"417",319,1,9,7,10,6
"418",319,2,4,7,13,15
"419",319,3,2,6,15,17
"420",319,4,4,1,8,5
"421",320,1,11,10,9,8
"422",320,2,8,12,7,10
"423",320,3,8,10,11,10
"424",320,4,11,6,13,8
"425",321,1,0,0,12,17
"426",321,2,5,9,9,12
"427",321,3,10,6,14,9
"428",321,4,8,8,11,11
"429",322,1,7,3,17,11
"430",322,2,7,8,12,12
"431",322,3,8,9,12,11
"432",322,4,4,4,16,16
"433",323,1,2,3,5,4
"434",323,2,9,9,8,9
"435",323,3,11,8,12,8
"436",323,4,9,11,10,9
"437",324,1,9,10,10,11
"438",324,2,7,7,11,11
"439",324,3,9,12,7,10
"440",324,4,11,5,15,9
"441",325,1,9,8,12,9
"442",325,2,4,4,17,14
"443",325,3,6,6,14,14
"444",325,4,14,12,8,6
"445",326,1,12,12,6,7
"446",326,2,12,10,10,6
"447",326,3,16,13,7,4
"448",326,4,12,12,8,6
"449",327,1,7,5,14,12
"450",327,2,9,6,14,10
"451",327,3,10,8,11,9
"452",327,4,8,5,15,11
"453",328,1,10,11,9,9
"454",328,2,12,10,10,8
"455",328,3,12,14,6,8
"456",328,4,10,11,10,9
"457",329,1,9,5,8,9
"458",329,2,3,6,14,17
"459",329,3,7,10,9,11
"460",329,4,3,6,12,17
"461",330,1,13,7,13,7
"462",330,2,8,13,7,12
"463",330,3,15,13,6,5
"464",330,4,10,17,4,9
"465",331,1,6,6,6,12
"466",331,2,8,9,9,11
"467",331,3,10,13,8,8
"468",331,4,12,9,11,8
"469",332,1,14,7,5,3
"470",332,2,9,12,6,5
"471",332,3,9,7,11,9
"472",332,4,6,10,10,12
"473",333,1,13,12,8,5
"474",333,2,10,15,5,9
"475",333,3,10,11,8,10
"476",333,4,9,5,15,11
"477",334,1,9,9,11,8
"478",334,2,7,7,10,12
"479",334,3,5,10,10,15
"480",334,4,9,11,9,10
"481",335,1,8,13,7,12
"482",335,2,8,10,10,11
"483",335,3,8,12,8,11
"484",335,4,5,6,14,15
"485",336,1,7,10,10,12
"486",336,2,9,8,13,9
"487",336,3,7,10,10,11
"488",336,4,6,9,11,12
"489",337,1,9,13,8,10
"490",337,2,10,9,11,10
"491",337,3,7,10,9,11
"492",337,4,11,8,11,8
"493",339,1,5,10,10,13
"494",340,1,10,14,6,9
"495",340,2,8,7,13,11
"496",340,3,10,9,12,9
"497",340,4,14,9,11,4
"498",341,1,10,11,6,8
"499",341,2,8,12,2,10
"500",341,3,10,15,5,10
"501",341,4,9,13,8,9
"502",342,1,8,9,8,8
"503",342,2,9,8,9,8
"504",342,3,4,4,13,10
"505",342,4,5,6,15,12
"506",343,1,8,7,14,10
"507",343,2,7,9,11,13
"508",343,3,11,8,12,9
"509",343,4,8,8,12,12
"510",344,1,4,4,12,13
"511",344,2,8,8,10,10
"512",344,3,4,5,15,12
"513",345,1,14,14,5,5
"514",346,1,5,3,16,14
"515",346,2,4,2,18,16
"516",346,3,5,4,16,14
"517",346,4,3,5,15,16
"518",347,1,6,2,13,11
"519",347,2,4,4,10,11
"520",347,3,4,7,12,16
"521",347,4,7,2,17,10
"522",348,1,7,8,12,12
"523",348,2,3,8,12,15
"524",348,3,2,5,15,18
"525",348,4,5,6,13,15
"526",349,1,7,10,10,11
"527",349,2,7,10,10,11
"528",349,3,5,7,14,12
"529",349,4,7,13,6,10
"530",350,1,7,7,12,9
"531",350,2,10,7,13,9
"532",350,3,12,5,15,4
"533",351,1,8,10,8,6
"534",351,2,12,15,5,5
"535",351,3,11,10,6,7
"536",351,4,9,9,10,10
"537",352,1,12,12,7,6
"538",352,2,10,14,7,6
"539",352,3,3,8,12,17
"540",352,4,4,4,15,15
"541",353,1,19,14,1,0
"542",353,2,14,17,3,5
"543",353,3,10,12,7,8
"544",353,4,14,4,15,4
"545",354,1,9,10,11,8
"546",354,2,8,10,9,12
"547",354,3,9,8,12,11
"548",354,4,10,9,10,8
"549",355,1,14,11,9,6
"550",355,2,13,11,9,7
"551",355,3,17,11,10,2
"552",355,4,13,15,5,7
"553",356,1,2,5,15,13
"554",356,2,6,4,16,12
"555",356,3,12,5,15,7
"556",357,1,13,10,5,6
"557",357,2,6,9,11,12
"558",357,3,10,9,10,9
"559",357,4,5,6,14,13
"560",359,1,7,12,8,13
"561",359,2,15,11,9,5
"562",359,3,9,12,7,11
"563",359,4,11,7,14,8
"564",360,1,9,11,6,10
"565",360,2,8,9,8,10
"566",360,3,8,8,12,12
"567",360,4,10,9,11,8
"568",361,1,9,4,14,9
"569",361,2,5,10,9,12
"570",361,3,10,3,16,7
"571",361,4,9,9,7,8
"572",362,1,5,5,15,13
"573",362,2,0,0,19,19
"574",362,3,8,2,16,10
"575",362,4,8,9,11,11
"576",363,1,11,11,7,7
"577",363,2,9,13,5,6
"578",363,3,10,8,10,10
"579",363,4,5,11,7,13
"580",364,1,6,6,14,13
"581",364,2,1,3,16,18
"582",364,3,1,1,19,19
"583",364,4,2,0,21,16
"584",365,1,3,4,15,13
"585",365,2,11,6,14,9
"586",365,3,10,9,10,10
"587",365,4,3,5,15,17
"588",366,1,3,5,11,13
"589",366,2,7,8,7,6
"590",366,3,5,5,14,15
"591",366,4,7,6,14,13
"592",367,1,6,9,10,11
"593",367,2,7,5,15,12
"594",367,3,8,4,16,12
"595",367,4,12,5,15,8
"596",368,1,11,11,9,9
"597",368,2,9,8,11,11
"598",368,3,7,7,12,12
"599",368,4,13,11,10,6
"600",369,1,13,12,7,5
"601",369,2,16,7,13,4
"602",369,3,12,11,8,8
"603",369,4,13,9,11,7
"604",370,1,17,13,6,3
"605",370,2,10,12,8,8
"606",370,3,4,3,17,16
"607",371,1,8,9,12,9
"608",371,2,10,10,10,9
"609",371,3,10,13,7,10
"610",371,4,11,13,7,8
"611",372,1,6,5,16,13
"612",372,2,3,6,14,16
"613",372,3,6,6,14,13
"614",372,4,10,9,7,8
"615",373,1,5,5,13,12
"616",373,2,6,5,16,13
"617",373,3,13,5,14,7
"618",373,4,7,10,10,11
"619",401,1,3,5,15,16
"620",401,2,7,5,13,13
"621",401,3,3,3,18,16
"622",401,4,2,1,19,17
"623",402,1,9,5,15,11
"624",402,2,9,6,14,11
"625",402,3,7,10,11,12
"626",402,4,11,7,13,8
"627",403,1,3,4,15,15
"628",403,2,5,6,13,15
"629",403,3,8,7,14,11
"630",403,4,4,4,16,15
"631",404,1,9,11,9,10
"632",404,2,10,12,8,10
"633",404,3,9,12,7,10
"634",404,4,11,9,9,8
"635",405,1,7,10,6,13
"636",405,2,1,4,16,17
"637",405,3,12,11,9,8
"638",405,4,11,10,9,9
"639",406,1,10,11,8,9
"640",406,2,5,2,17,11
"641",406,3,14,17,3,6
"642",406,4,16,12,7,3
"643",407,1,2,1,14,12
"644",407,2,4,5,13,16
"645",407,3,9,10,8,10
"646",407,4,10,8,12,9
"647",408,1,11,9,10,9
"648",408,2,13,7,11,7
"649",408,3,8,10,10,12
"650",408,4,6,6,15,13
"651",409,1,11,7,14,7
"652",409,2,3,10,9,16
"653",409,3,5,9,11,14
"654",409,4,6,11,9,14
"655",410,1,10,7,13,10
"656",410,2,13,8,12,6
"657",410,3,9,13,8,10
"658",410,4,7,9,11,13
"659",411,1,9,5,16,10
"660",411,2,9,9,11,11
"661",411,3,9,8,11,11
"662",411,4,7,7,13,13
